1775,-26.073683,27.753463
2043,47.03195,6.884016
2130,56.939415,24.303777
2818,60.776253,10.669447
3885,-37.293891,148.280454
5494,-33.422208,-70.70948
6074,42.200614,25.630261
6907,41.50918,25.698342
7417,46.748149,9.442594
7945,43.047003,26.339126
8003,14.500513,44.251394
33542,28.233327,-82.176802
48193,42.174223,-83.179341
0307 SW Montgomery St Portland, OR 97201-5125,45.509386,-122.673712
03106-1867,43.080284,-71.453684
0618 SW Nebraska St Portland, OR 97239-3556,45.477075,-122.672594
1 Battiato Ln Chester, NY 10918-1283,41.362281,-74.270966
1 Boody Lane Monhegan, ME 04852,43.758661,-69.32108
1 Brewers Row 79 N 11th St Brooklyn, NY 11249-1913,40.721645,-73.957258
1 Busch Pl Saint Louis, MO 63118-1849,38.598451,-90.209973
1 Cardinal Ct Ste 13 Hilton Head Island, SC 29926,32.222581,-80.704156
1 Corporate Park Dr Unit 1 Derry, NH 03038-2276,42.885876,-71.335881
1 Design Center Pl Ste 850 Boston, MA 02210-2300,42.344189,-71.032813
1 Design Center Pl Ste 850 Boston, MA 02210-2300,42.344189,-71.032813
1 E 14 Mile Rd Clawson, MI 48017-2132,42.533691,-83.14595
1 E Alger St Sheridan, WY 82801-3911,44.800987,-106.955546
1 Eighth St Astoria, OR 97103-4200,46.182026,-123.834957
1 Executive Way Napa, CA 94558-6271,38.224348,-122.256794
1 Flatiron Cir Ste 428 Broomfield, CO 80021-8214,39.933218,-105.13298
1 Ford Rd Omaha, GA 31821
1 Hemsley Place Exeter, RI 02822-3740,41.569526,-71.523862
1 Ilene Ct Ste 8 Ste 16 Hillsborough, NJ 08844-1916,40.490736,-74.642992
1 Industrial Way Ste 3 Portland, ME 04103-1072,43.702808,-70.319972
1 Industrial Way Ste 5 Portland, ME 04103-1072,43.702808,-70.319972
1 Industrial Way Ste 8 Portland, ME 04103-1072,43.702808,-70.319972
1 Ionia Ave SW, Suite 100 Grand Rapids, MI 49503-5122,42.963058,-85.670596
1 Kendall Sq Ste B1102 Cambridge, MA 02139-1592,42.367815,-71.09006
1 King St Ste 101 St Augustine, FL 32084-4461,29.891979,-81.311144
1 Main St Brockport, NY 14420,43.216378,-77.937964
1 Main St Greenwich, NY 12834,43.087676,-73.496737
1 N Center Court St Portland, OR 97227-2102,45.53186,-122.66682
1 N Oklahoma Ave Oklahoma City, OK 73104-2413,35.466761,-97.510809
1 N Pack Sq C/O Biltmore Winery EstatesAsheville, NC 28801-3462,35.592746,-82.556456
1 Northside 75 Nw Atlanta, GA 30318-7715,33.800581,-84.407019
1 Orondo Ave Wenatchee, WA 98801-2206,47.423871,-120.309254
1 Pine Ave Long Beach, CA 90802-4759,33.767405,-118.192751
1 River Rd Shawnee on Delaware, PA 18356,41.007227,-75.111187
1 Schlafly Plz Saint Louis, MO 63143-2454,38.613005,-90.315017
1 W Grand Ave Chicago, IL 60654-4806,41.891418,-87.628398
1 Wolcott Rd Wolcott, CT 06716-2611,41.574195,-73.00182
1 Worcester Rd Framingham, MA 01701-5359,42.303254,-71.396354
1 York St Ste 3 York, ME 03909-1392,43.150193,-70.665592
10 Buffalo Court Divide, CO 80814,38.943996,-105.155199
10 Conroy St Charleston, SC 29403-3815,32.807076,-79.94501
10 East South St. Carlisle, PA 17013-3426,40.198178,-77.189085
10 Enterprise Carbondale, PA 18407-1880,41.579286,-75.501533
10 Fountain Square Plz Cincinnati, OH 45202-3102,39.269982,-84.462071
10 Lippincott Ln Unit 12 Mount Holly, NJ 08060-1603,39.992634,-74.802634
